 Tesla Model 3 ; 2019; 43 888; 1 149 427; 
 Tesla Model 3 PERFORMANCE FSD; 2019; 44 888; 1 175 617; 
 Tesla Model 3 PERFORMANCE ; 2019; 43 588; 1 141 570; 
 Tesla Model 3 PERFORMANCE FSD; 2020; 51 888; 1 358 947; 
 Tesla Model 3 DUAL MOTOR LONG RANG; 2020; 44 000; 1 152 800; 
 Tesla Model S PERFORMANCE; 2013; 26 999; 707 104; 
 Tesla Model 3 Long Range DualMotor; 2020; 45 899; 1 201 636; 
 Tesla Model S S85; 2015; 30 999; 811 864; 
 Tesla Model 3 ; 2018; 39 900; 1 044 582; 
